序号,URL,参数,说明
1,/apidocs/,,flasgger.apidocs
2,/apidocs/index.html,,flasgger.<lambda>
3,/apispec.json,,flasgger.apispec
4,/debug/routes,,list_routes
5,/flasgger_static/<path:filename>,,flasgger.static
6,/internal/user/tms,,internal_api.token_get
7,/oauth2-redirect.html,,flasgger.oauth_redirect
8,/rag/api/v1/agentbots/<agent_id>/completions,,session.agent_bot_completions
9,/rag/api/v1/agents,,agent.list_agents
10,/rag/api/v1/agents,,agent.create_agent
11,/rag/api/v1/agents/<agent_id>,,agent.update_agent
12,/rag/api/v1/agents/<agent_id>,,agent.delete_agent
13,/rag/api/v1/agents/<agent_id>/completions,,session.agent_completions
14,/rag/api/v1/agents/<agent_id>/sessions,,session.create_agent_session
15,/rag/api/v1/agents/<agent_id>/sessions,,session.list_agent_session
16,/rag/api/v1/agents/<agent_id>/sessions,,session.delete_agent_session
17,/rag/api/v1/agents_openai/<agent_id>/chat/completions,,session.agents_completion_openai_compatibility
18,/rag/api/v1/chatbots/<dialog_id>/completions,,session.chatbot_completions
19,/rag/api/v1/chats,,chat.create
20,/rag/api/v1/chats,,chat.delete
21,/rag/api/v1/chats,,chat.list_chat
22,/rag/api/v1/chats/<chat_id>,,chat.update
23,/rag/api/v1/chats/<chat_id>/completions,,session.chat_completion
24,/rag/api/v1/chats/<chat_id>/sessions,,session.create
25,/rag/api/v1/chats/<chat_id>/sessions,,session.list_session
26,/rag/api/v1/chats/<chat_id>/sessions,,session.delete
27,/rag/api/v1/chats/<chat_id>/sessions/<session_id>,,session.update
28,/rag/api/v1/chats_openai/<chat_id>/chat/completions,,session.chat_completion_openai_like
29,/rag/api/v1/datasets,,dataset.create
30,/rag/api/v1/datasets,,dataset.delete
31,/rag/api/v1/datasets,,dataset.list_datasets
32,/rag/api/v1/datasets/<dataset_id>,,dataset.update
33,/rag/api/v1/datasets/<dataset_id>/chunks,,doc.parse
34,/rag/api/v1/datasets/<dataset_id>/chunks,,doc.stop_parsing
35,/rag/api/v1/datasets/<dataset_id>/documents,,doc.upload
36,/rag/api/v1/datasets/<dataset_id>/documents,,doc.list_docs
37,/rag/api/v1/datasets/<dataset_id>/documents,,doc.delete
38,/rag/api/v1/datasets/<dataset_id>/documents/<document_id>,,doc.update_doc
